date,strategy,ret_gross,ret_net,turnover,cost,n_assets
2003-03-31,1/N,-0.07024699871208541,-0.07024699871208541,0.0,0.0,34
2003-03-31,GA-UQ,0.04313014595555865,0.04313014595555865,0.0,0.0,34
2003-04-30,1/N,0.17504573367993498,0.1749778054369421,0.06792824299288255,6.792824299288256e-05,34
2003-04-30,GA-UQ,0.04790522707409056,0.04759885034833389,0.30637672575667435,0.00030637672575667434,34
2003-05-31,1/N,0.05357626855196096,0.053487537194904095,0.08873135705686638,8.873135705686639e-05,34
2003-05-31,GA-UQ,0.05052324581821432,0.05039172549164434,0.13152032656997348,0.00013152032656997347,34
2003-06-30,1/N,0.03215943083568692,0.032091734219132695,0.06769661655422204,6.769661655422205e-05,34
2003-06-30,GA-UQ,-0.04764078290402091,-0.04776656161874154,0.1257787147206271,0.0001257787147206271,34
2003-07-31,1/N,0.053025556522931956,0.05294030080981547,0.08525571311648739,8.525571311648739e-05,34
2003-07-31,GA-UQ,-0.010151566070865807,-0.010170444060007755,0.018877989141948073,1.8877989141948073e-05,34
2003-08-31,1/N,0.039146959331093883,0.03909039694121792,0.056562389875960975,5.6562389875960975e-05,34
2003-08-31,GA-UQ,0.023410056074715593,0.02313180065092459,0.278255423791003,0.000278255423791003,34
2003-09-30,1/N,-0.03565103297498659,-0.035704937328371475,0.05390435338488627,5.390435338488627e-05,34
2003-09-30,GA-UQ,0.019077995830939238,0.0189005573824471,0.17743844849213794,0.00017743844849213794,34
2003-10-31,1/N,0.0877272276935597,0.08766990596215889,0.057321731400811364,5.7321731400811364e-05,34
2003-10-31,GA-UQ,0.014831672337933772,0.014417055911728902,0.41461642620486894,0.00041461642620486895,34
2003-11-30,1/N,0.014204084025902435,0.014134884663428073,0.06919936247436151,6.91993624743615e-05,34
2003-11-30,GA-UQ,0.05322230663391529,0.05283718491412347,0.385121719791823,0.00038512171979182303,34
2003-12-31,1/N,-0.001132128240648588,-0.001180742344094532,0.048614103445944024,4.861410344594402e-05,34
2003-12-31,GA-UQ,-0.020826681442174456,-0.021296602808993412,0.4699213668189562,0.0004699213668189562,34
2004-01-31,1/N,0.048028494197201684,0.04798460227342057,0.04389192378110868,4.389192378110868e-05,34
2004-01-31,GA-UQ,0.03858392959550829,0.03840865605474589,0.17527354076240045,0.00017527354076240045,34
2004-02-29,1/N,0.03770764034687103,0.037650926997420446,0.05671334945058758,5.671334945058758e-05,34
2004-02-29,GA-UQ,0.07809531975061278,0.07759152483499093,0.5037949156218468,0.0005037949156218468,34
2004-03-31,1/N,-0.020274397280368634,-0.020341163178956217,0.06676589858758236,6.676589858758237e-05,34
2004-03-31,GA-UQ,0.042386475829209166,0.04216755435960307,0.21892146960609393,0.00021892146960609393,34
2004-04-30,1/N,0.008522709196143723,0.00847429381178863,0.04841538435509293,4.8415384355092936e-05,34
2004-04-30,GA-UQ,0.03557955578603645,0.03517771579087195,0.40183999516450375,0.0004018399951645038,34
2004-05-31,1/N,-0.01139680579982949,-0.011446302981822497,0.04949718199300593,4.949718199300593e-05,34
2004-05-31,GA-UQ,0.04188266855330107,0.04138362153274231,0.49904702055875766,0.0004990470205587577,34
2004-06-30,1/N,0.030670193829067237,0.030629650345350666,0.040543483716571724,4.054348371657172e-05,34
2004-06-30,GA-UQ,0.03429995473597044,0.034129070600731844,0.17088413523859516,0.00017088413523859517,34
2004-07-31,1/N,-0.03751268204283577,-0.03755622509169537,0.043543048859607345,4.3543048859607345e-05,34
2004-07-31,GA-UQ,-0.029223488345318863,-0.029593849504377434,0.37036115905857114,0.00037036115905857115,34
2004-08-31,1/N,-0.02143357429884631,-0.0214671462992293,0.0335720003829896,3.35720003829896e-05,34
2004-08-31,GA-UQ,0.024446938298834386,0.02406039120357474,0.3865470952596446,0.0003865470952596446,34
2004-09-30,1/N,-0.0003417515533223149,-0.00039828368574356917,0.05653213242125431,5.653213242125431e-05,34
2004-09-30,GA-UQ,0.03083702608602252,0.030512442084059007,0.3245840019635125,0.0003245840019635125,34
2004-10-31,1/N,0.025243216432249995,0.025195996084718716,0.04722034753127935,4.7220347531279354e-05,34
2004-10-31,GA-UQ,0.06254837692375907,0.061700611782294995,0.8477651414640769,0.0008477651414640769,34
2004-11-30,1/N,0.03493080649049131,0.03489010205421919,0.04070443627211974,4.0704436272119744e-05,34
2004-11-30,GA-UQ,0.034544032146114935,0.033840941604608855,0.7030905415060766,0.0007030905415060767,34
2004-12-31,1/N,0.01867375769088954,0.018630914118644905,0.04284357224463524,4.284357224463524e-05,34
2004-12-31,GA-UQ,-0.001663455552675262,-0.002202182271700508,0.538726719025246,0.000538726719025246,34
2005-01-31,1/N,0.024074184114169037,0.024035877300575152,0.03830681359388601,3.830681359388601e-05,34
2005-01-31,GA-UQ,-0.0036625591534678948,-0.004083548604281029,0.42098945081313466,0.0004209894508131347,34
2005-02-28,1/N,0.03801309503575591,0.03797045187828555,0.042643157470357004,4.2643157470357004e-05,34
2005-02-28,GA-UQ,0.060210000135161826,0.059791595798473304,0.41840433668852395,0.00041840433668852394,34
2005-03-31,1/N,-0.014284297602900103,-0.014334228872535012,0.04993126963490874,4.993126963490874e-05,34
2005-03-31,GA-UQ,-0.09494819809529695,-0.09514154672995706,0.19334863466010846,0.00019334863466010846,34
2005-04-30,1/N,-0.05916362106412244,-0.05921271231830645,0.049091254184006075,4.909125418400608e-05,34
2005-04-30,GA-UQ,-0.15071233835865713,-0.1509244980381989,0.21215967954176412,0.00021215967954176413,34
2005-05-31,1/N,0.059252244036354706,0.05921174075567992,0.040503280674783634,4.0503280674783635e-05,34
2005-05-31,GA-UQ,0.06225657267592287,0.06194523019204391,0.31134248387895985,0.00031134248387895984,34
2005-06-30,1/N,0.03829692225176489,0.03825203886155673,0.04488339020816326,4.4883390208163264e-05,34
2005-06-30,GA-UQ,0.0421826505820384,0.04188491061803795,0.29773996400044567,0.00029773996400044565,34
