date,strategy,ret_net,turnover,cost,n_assets,cov_method,cost_bps,seed
2003-03-31,1/N,-0.07024699871208541,0.0,0.0,34,sample,10,137
2003-03-31,GA-UQ,0.039152418582158184,0.0,0.0,34,sample,10,137
2003-04-30,1/N,0.1749778054369421,0.06792824299288255,6.792824299288256e-05,34,sample,10,137
2003-04-30,GA-UQ,0.052701935851732225,0.35871217190092025,0.0003587121719009203,34,sample,10,137
2003-05-31,1/N,0.053487537194904095,0.08873135705686638,8.873135705686639e-05,34,sample,10,137
2003-05-31,GA-UQ,0.050250182861140746,0.16506553161201892,0.00016506553161201894,34,sample,10,137
2003-06-30,1/N,0.032091734219132695,0.06769661655422204,6.769661655422205e-05,34,sample,10,137
2003-06-30,GA-UQ,-0.056048556138751725,0.11570742759006385,0.00011570742759006384,34,sample,10,137
2003-07-31,1/N,0.05294030080981547,0.08525571311648739,8.525571311648739e-05,34,sample,10,137
2003-07-31,GA-UQ,-0.0026413877524134087,0.1638974755776467,0.0001638974755776467,34,sample,10,137
2003-08-31,1/N,0.03909039694121792,0.056562389875960975,5.6562389875960975e-05,34,sample,10,137
2003-08-31,GA-UQ,0.0031098295166463565,0.2639754301631547,0.0002639754301631547,34,sample,10,137
2003-09-30,1/N,-0.035704937328371475,0.05390435338488627,5.390435338488627e-05,34,sample,10,137
2003-09-30,GA-UQ,0.004549885832386976,0.556603892065324,0.000556603892065324,34,sample,10,137
2003-10-31,1/N,0.08766990596215889,0.057321731400811364,5.7321731400811364e-05,34,sample,10,137
2003-10-31,GA-UQ,0.03168617553693599,0.44398803058805847,0.0004439880305880585,34,sample,10,137
2003-11-30,1/N,0.014134884663428073,0.06919936247436151,6.91993624743615e-05,34,sample,10,137
2003-11-30,GA-UQ,0.056082085840679675,0.08423722869715991,8.423722869715991e-05,34,sample,10,137
2003-12-31,1/N,-0.001180742344094532,0.048614103445944024,4.861410344594402e-05,34,sample,10,137
2003-12-31,GA-UQ,-0.020404653283371064,0.623552048813832,0.000623552048813832,34,sample,10,137
2004-01-31,1/N,0.04798460227342057,0.04389192378110868,4.389192378110868e-05,34,sample,10,137
2004-01-31,GA-UQ,-0.003998390648613988,0.5493682444269273,0.0005493682444269273,34,sample,10,137
2004-02-29,1/N,0.037650926997420446,0.05671334945058758,5.671334945058758e-05,34,sample,10,137
2004-02-29,GA-UQ,0.08096933718457656,0.8374194350632946,0.0008374194350632947,34,sample,10,137
2004-03-31,1/N,-0.020341163178956217,0.06676589858758236,6.676589858758237e-05,34,sample,10,137
2004-03-31,GA-UQ,0.04651460310977797,0.25624589030439343,0.0002562458903043934,34,sample,10,137
2004-04-30,1/N,0.00847429381178863,0.04841538435509293,4.8415384355092936e-05,34,sample,10,137
2004-04-30,GA-UQ,0.03466101851153842,0.4490345919874951,0.0004490345919874951,34,sample,10,137
2004-05-31,1/N,-0.011446302981822497,0.04949718199300593,4.949718199300593e-05,34,sample,10,137
2004-05-31,GA-UQ,0.04318136612053093,0.48652237404487664,0.00048652237404487664,34,sample,10,137
2004-06-30,1/N,0.030629650345350666,0.040543483716571724,4.054348371657172e-05,34,sample,10,137
2004-06-30,GA-UQ,0.033444176364462085,0.20001714174396462,0.00020001714174396463,34,sample,10,137
2004-07-31,1/N,-0.03755622509169537,0.043543048859607345,4.3543048859607345e-05,34,sample,10,137
2004-07-31,GA-UQ,-0.02109139725560815,0.9227932409591024,0.0009227932409591025,34,sample,10,137
2004-08-31,1/N,-0.0214671462992293,0.0335720003829896,3.35720003829896e-05,34,sample,10,137
2004-08-31,GA-UQ,0.026490970077235734,0.868674675844658,0.000868674675844658,34,sample,10,137
2004-09-30,1/N,-0.00039828368574356917,0.05653213242125431,5.653213242125431e-05,34,sample,10,137
2004-09-30,GA-UQ,0.038988767702920146,0.180061682583413,0.00018006168258341302,34,sample,10,137
2004-10-31,1/N,0.025195996084718716,0.04722034753127935,4.7220347531279354e-05,34,sample,10,137
2004-10-31,GA-UQ,0.0630211207922293,0.5601031941130429,0.0005601031941130429,34,sample,10,137
2004-11-30,1/N,0.03489010205421919,0.04070443627211974,4.0704436272119744e-05,34,sample,10,137
2004-11-30,GA-UQ,0.037859526024184915,0.6188500728490129,0.000618850072849013,34,sample,10,137
2004-12-31,1/N,0.018630914118644905,0.04284357224463524,4.284357224463524e-05,34,sample,10,137
2004-12-31,GA-UQ,-0.0026816711933448792,0.4588878481427761,0.0004588878481427761,34,sample,10,137
2005-01-31,1/N,0.024035877300575152,0.03830681359388601,3.830681359388601e-05,34,sample,10,137
2005-01-31,GA-UQ,0.04746123465394592,0.9633442309003825,0.0009633442309003825,34,sample,10,137
2005-02-28,1/N,0.03797045187828555,0.042643157470357004,4.2643157470357004e-05,34,sample,10,137
2005-02-28,GA-UQ,0.06921516830868879,1.0707595209199716,0.0010707595209199716,34,sample,10,137
2005-03-31,1/N,-0.014334228872535012,0.04993126963490874,4.993126963490874e-05,34,sample,10,137
2005-03-31,GA-UQ,-0.08759662577733633,0.23896931252165546,0.00023896931252165545,34,sample,10,137
2005-04-30,1/N,-0.05921271231830645,0.049091254184006075,4.909125418400608e-05,34,sample,10,137
2005-04-30,GA-UQ,-0.1337350850945456,0.4060725634012992,0.00040607256340129924,34,sample,10,137
2005-05-31,1/N,0.05921174075567992,0.040503280674783634,4.0503280674783635e-05,34,sample,10,137
2005-05-31,GA-UQ,0.059297200775704884,0.4257163176014511,0.00042571631760145113,34,sample,10,137
2005-06-30,1/N,0.03825203886155673,0.04488339020816326,4.4883390208163264e-05,34,sample,10,137
2005-06-30,GA-UQ,0.06719759571319271,1.23909292596928,0.00123909292596928,34,sample,10,137
2005-07-31,1/N,0.05139730338805687,0.028074061745664555,2.8074061745664557e-05,34,sample,10,137
2005-07-31,GA-UQ,0.06815359614917989,0.0664371733954259,6.643717339542591e-05,34,sample,10,137
2005-08-31,1/N,-0.012124682347620137,0.03433638097910576,3.4336380979105764e-05,34,sample,10,137
2005-08-31,GA-UQ,0.01926614011931494,0.38440197449547453,0.00038440197449547453,34,sample,10,137
2005-09-30,1/N,0.05147069717847684,0.04002221383961395,4.002221383961395e-05,34,sample,10,137
2005-09-30,GA-UQ,0.03003080420551143,0.24077752724212856,0.00024077752724212855,34,sample,10,137
2005-10-31,1/N,-0.03843812242941109,0.0359745005543432,3.5974500554343205e-05,34,sample,10,137
2005-10-31,GA-UQ,-0.09927972601983728,0.30782275298359835,0.00030782275298359835,34,sample,10,137
2005-11-30,1/N,0.03441478885436563,0.039852827071629904,3.98528270716299e-05,34,sample,10,137
2005-11-30,GA-UQ,0.05219482669533142,0.36742007240313335,0.0003674200724031334,34,sample,10,137
2005-12-31,1/N,0.02174025813125597,0.03924949866206455,3.924949866206455e-05,34,sample,10,137
2005-12-31,GA-UQ,0.0005808458224327077,0.4394612329051167,0.0004394612329051167,34,sample,10,137
2006-01-31,1/N,0.04984751345681479,0.04258452437100112,4.258452437100112e-05,34,sample,10,137
2006-01-31,GA-UQ,0.15484745826488322,0.2753995134335224,0.00027539951343352243,34,sample,10,137
2006-02-28,1/N,0.015302480531308268,0.028036228136513908,2.803622813651391e-05,34,sample,10,137
2006-02-28,GA-UQ,-0.0031380481908836752,0.5051342091954227,0.0005051342091954228,34,sample,10,137
2006-03-31,1/N,0.034573202363285774,0.04788073210731128,4.788073210731128e-05,34,sample,10,137
2006-03-31,GA-UQ,0.07629056207720339,0.15514348426050878,0.00015514348426050878,34,sample,10,137
2006-04-30,1/N,-0.000467049497315455,0.04183020496397766,4.183020496397766e-05,34,sample,10,137
2006-04-30,GA-UQ,-0.04052285173497873,0.044860011780499635,4.486001178049964e-05,34,sample,10,137
2006-05-31,1/N,-0.06359088171259247,0.03773246825539111,3.773246825539111e-05,34,sample,10,137
2006-05-31,GA-UQ,-0.09605048433549766,0.4293027344850483,0.0004293027344850483,34,sample,10,137
2006-06-30,1/N,-0.0025097667207458693,0.03886893278079881,3.886893278079881e-05,34,sample,10,137
2006-06-30,GA-UQ,0.0275999190769147,0.41387158495000514,0.00041387158495000516,34,sample,10,137
2006-07-31,1/N,-0.01552200562549922,0.03313987908493561,3.313987908493561e-05,34,sample,10,137
2006-07-31,GA-UQ,0.022775635447156693,0.5921395266721187,0.0005921395266721187,34,sample,10,137
2006-08-31,1/N,0.0544688763503889,0.038839666177064414,3.883966617706441e-05,34,sample,10,137
2006-08-31,GA-UQ,0.03786029568597201,0.7676616989730589,0.0007676616989730589,34,sample,10,137
2006-09-30,1/N,0.01543413457623604,0.057490380988281374,5.7490380988281376e-05,34,sample,10,137
2006-09-30,GA-UQ,0.03424193431662671,0.484087487183532,0.00048408748718353203,34,sample,10,137
2006-10-31,1/N,0.026286419541550036,0.03194546713474139,3.194546713474139e-05,34,sample,10,137
2006-10-31,GA-UQ,0.06556867096340849,0.11469881816116814,0.00011469881816116815,34,sample,10,137
2006-11-30,1/N,0.005492984492071115,0.032986260072917266,3.298626007291727e-05,34,sample,10,137
2006-11-30,GA-UQ,0.01798218409631213,0.033540198736858456,3.354019873685846e-05,34,sample,10,137
2006-12-31,1/N,0.04019101694862834,0.03716206343136362,3.7162063431363624e-05,34,sample,10,137
