date,strategy,ret_net,turnover,cost,n_assets,cov_method,cost_bps,seed
2003-03-31,1/N,-0.07024699871208541,0.0,0.0,34,ewma,25,137
2003-03-31,GA-UQ,0.042170413993086894,0.0,0.0,34,ewma,25,137
2003-04-30,1/N,0.17487591307245276,0.06792824299288255,0.00016982060748220638,34,ewma,25,137
2003-04-30,GA-UQ,0.039146864952583425,0.22700583554320036,0.000567514588858001,34,ewma,25,137
2003-05-31,1/N,0.05335444015931879,0.08873135705686638,0.00022182839264216596,34,ewma,25,137
2003-05-31,GA-UQ,0.05143167968208032,0.21705825765354508,0.0005426456441338627,34,ewma,25,137
2003-06-30,1/N,0.03199018929430136,0.06769661655422204,0.0001692415413855551,34,ewma,25,137
2003-06-30,GA-UQ,-0.05076961471012265,0.16753881994672246,0.00041884704986680613,34,ewma,25,137
2003-07-31,1/N,0.05281241724014074,0.08525571311648739,0.00021313928279121847,34,ewma,25,137
2003-07-31,GA-UQ,-0.01007433129906955,0.03849568246500723,9.623920616251807e-05,34,ewma,25,137
2003-08-31,1/N,0.03900555335640398,0.056562389875960975,0.00014140597468990243,34,ewma,25,137
2003-08-31,GA-UQ,0.0205953071675943,0.32947633873951504,0.0008236908468487876,34,ewma,25,137
2003-09-30,1/N,-0.03578579385844881,0.05390435338488627,0.00013476088346221567,34,ewma,25,137
2003-09-30,GA-UQ,0.020319924174441374,0.28566177276243565,0.0007141544319060892,34,ewma,25,137
2003-10-31,1/N,0.08758392336505767,0.057321731400811364,0.00014330432850202842,34,ewma,25,137
2003-10-31,GA-UQ,0.021365725860767792,0.5618345915748737,0.0014045864789371842,34,ewma,25,137
2003-11-30,1/N,0.014031085619716532,0.06919936247436151,0.00017299840618590379,34,ewma,25,137
2003-11-30,GA-UQ,0.051511398529279606,0.47677238715019477,0.001191930967875487,34,ewma,25,137
2003-12-31,1/N,-0.001253663499263448,0.048614103445944024,0.00012153525861486006,34,ewma,25,137
2003-12-31,GA-UQ,-0.013129755702996158,0.13533794184545006,0.00033834485461362517,34,ewma,25,137
2004-01-31,1/N,0.04791876438774891,0.04389192378110868,0.00010972980945277169,34,ewma,25,137
2004-01-31,GA-UQ,0.0007595576777151634,0.5642719596239939,0.0014106798990599848,34,ewma,25,137
2004-02-29,1/N,0.03756585697324456,0.05671334945058758,0.00014178337362646894,34,ewma,25,137
2004-02-29,GA-UQ,0.08821980839295648,1.1270403819309065,0.0028176009548272663,34,ewma,25,137
2004-03-31,1/N,-0.02044131202683759,0.06676589858758236,0.0001669147464689559,34,ewma,25,137
2004-03-31,GA-UQ,0.0916953879400802,0.5012685265165825,0.0012531713162914563,34,ewma,25,137
2004-04-30,1/N,0.00840167073525599,0.04841538435509293,0.00012103846088773233,34,ewma,25,137
2004-04-30,GA-UQ,0.017976864713931808,0.20541298843518452,0.0005135324710879613,34,ewma,25,137
2004-05-31,1/N,-0.011520548754812005,0.04949718199300593,0.00012374295498251482,34,ewma,25,137
2004-05-31,GA-UQ,0.06717746726130686,0.25251928456100897,0.0006312982114025224,34,ewma,25,137
2004-06-30,1/N,0.030568835119775806,0.040543483716571724,0.00010135870929142932,34,ewma,25,137
2004-06-30,GA-UQ,0.050210453235098707,0.28628092722293064,0.0007157023180573266,34,ewma,25,137
2004-07-31,1/N,-0.037621539664984785,0.043543048859607345,0.00010885762214901836,34,ewma,25,137
2004-07-31,GA-UQ,-0.0016380706759972076,0.25635713952557854,0.0006408928488139463,34,ewma,25,137
2004-08-31,1/N,-0.021517504299803782,0.0335720003829896,8.393000095747401e-05,34,ewma,25,137
2004-08-31,GA-UQ,0.07461040380222084,0.4537052181305805,0.0011342630453264513,34,ewma,25,137
2004-09-30,1/N,-0.0004830818843754507,0.05653213242125431,0.00014133033105313578,34,ewma,25,137
2004-09-30,GA-UQ,0.04072024936878743,0.24315306784640756,0.0006078826696160189,34,ewma,25,137
2004-10-31,1/N,0.025125165563421797,0.04722034753127935,0.00011805086882819837,34,ewma,25,137
2004-10-31,GA-UQ,0.06485646165950829,0.30069736573577927,0.0007517434143394482,34,ewma,25,137
2004-11-30,1/N,0.03482904539981101,0.04070443627211974,0.00010176109068029935,34,ewma,25,137
2004-11-30,GA-UQ,0.07283096511574572,0.6557065458121726,0.0016392663645304316,34,ewma,25,137
2004-12-31,1/N,0.01856664876027795,0.04284357224463524,0.0001071089306115881,34,ewma,25,137
2004-12-31,GA-UQ,-0.06821672199132824,0.22304677145156915,0.0005576169286289229,34,ewma,25,137
2005-01-31,1/N,0.023978417080184323,0.03830681359388601,9.576703398471503e-05,34,ewma,25,137
2005-01-31,GA-UQ,0.002618140547852402,0.07462356746558799,0.00018655891866396998,34,ewma,25,137
2005-02-28,1/N,0.03790648714208002,0.042643157470357004,0.00010660789367589252,34,ewma,25,137
2005-02-28,GA-UQ,0.0646113542846184,0.5353730236594304,0.001338432559148576,34,ewma,25,137
2005-03-31,1/N,-0.014409125776987374,0.04993126963490874,0.00012482817408727184,34,ewma,25,137
2005-03-31,GA-UQ,-0.11790048370843532,0.2284644242716464,0.000571161060679116,34,ewma,25,137
2005-04-30,1/N,-0.05928634919958246,0.049091254184006075,0.0001227281354600152,34,ewma,25,137
2005-04-30,GA-UQ,-0.17965802152007,0.354173939781,0.0008854348494524999,34,ewma,25,137
2005-05-31,1/N,0.05915098583466775,0.040503280674783634,0.00010125820168695908,34,ewma,25,137
2005-05-31,GA-UQ,0.06092089285841639,0.6175016565384475,0.0015437541413461187,34,ewma,25,137
2005-06-30,1/N,0.03818471377624448,0.04488339020816326,0.00011220847552040815,34,ewma,25,137
2005-06-30,GA-UQ,0.06370730619293326,1.0484151336956127,0.0026210378342390317,34,ewma,25,137
2005-07-31,1/N,0.051355192295438376,0.028074061745664555,7.018515436416139e-05,34,ewma,25,137
2005-07-31,GA-UQ,0.058847423288227424,0.18074148605216764,0.00045185371513041913,34,ewma,25,137
2005-08-31,1/N,-0.012176186919088797,0.03433638097910576,8.584095244776441e-05,34,ewma,25,137
2005-08-31,GA-UQ,0.0023530466801098323,0.30286298590206556,0.0007571574647551639,34,ewma,25,137
2005-09-30,1/N,0.05141066385771742,0.04002221383961395,0.00010005553459903487,34,ewma,25,137
2005-09-30,GA-UQ,0.01290042681955423,0.3315168989931614,0.0008287922474829035,34,ewma,25,137
2005-10-31,1/N,-0.0384920841802426,0.0359745005543432,8.993625138585801e-05,34,ewma,25,137
2005-10-31,GA-UQ,-0.09938924837034285,0.04994194951766769,0.00012485487379416924,34,ewma,25,137
2005-11-30,1/N,0.03435500961375819,0.039852827071629904,9.963206767907476e-05,34,ewma,25,137
2005-11-30,GA-UQ,0.04744588540868169,0.450308089540076,0.00112577022385019,34,ewma,25,137
2005-12-31,1/N,0.021681383883262875,0.03924949866206455,9.812374665516137e-05,34,ewma,25,137
2005-12-31,GA-UQ,0.019948904424956063,0.5874860581428563,0.0014687151453571406,34,ewma,25,137
2006-01-31,1/N,0.04978363667025829,0.04258452437100112,0.00010646131092750279,34,ewma,25,137
2006-01-31,GA-UQ,0.15231765196074074,0.5301565380520189,0.0013253913451300474,34,ewma,25,137
2006-02-28,1/N,0.015260426189103497,0.028036228136513908,7.009057034128477e-05,34,ewma,25,137
2006-02-28,GA-UQ,-0.01111756558015534,0.44157474375969574,0.0011039368593992393,34,ewma,25,137
2006-03-31,1/N,0.03450138126512481,0.04788073210731128,0.0001197018302682782,34,ewma,25,137
2006-03-31,GA-UQ,0.06770947344461278,0.5089429165693005,0.0012723572914232512,34,ewma,25,137
2006-04-30,1/N,-0.0005297948047614214,0.04183020496397766,0.00010457551240994414,34,ewma,25,137
2006-04-30,GA-UQ,-0.03737938503318644,0.02181233955458157,5.453084888645393e-05,34,ewma,25,137
2006-05-31,1/N,-0.06364748041497556,0.03773246825539111,9.433117063847777e-05,34,ewma,25,137
2006-05-31,GA-UQ,-0.09547680839252004,0.12362263843236099,0.00030905659608090246,34,ewma,25,137
2006-06-30,1/N,-0.0025680701199170676,0.03886893278079881,9.717233195199703e-05,34,ewma,25,137
2006-06-30,GA-UQ,0.028499130378869465,0.47404573420242846,0.0011851143355060712,34,ewma,25,137
2006-07-31,1/N,-0.015571715444126624,0.03313987908493561,8.284969771233903e-05,34,ewma,25,137
2006-07-31,GA-UQ,0.024398063220545104,0.44179400396419294,0.0011044850099104825,34,ewma,25,137
2006-08-31,1/N,0.0544106168511233,0.038839666177064414,9.709916544266104e-05,34,ewma,25,137
2006-08-31,GA-UQ,0.025504302381061987,0.2671508007026969,0.0006678770017567423,34,ewma,25,137
2006-09-30,1/N,0.015347899004753618,0.057490380988281374,0.00014372595247070345,34,ewma,25,137
2006-09-30,GA-UQ,0.03933241540526521,0.6372761466479915,0.0015931903666199787,34,ewma,25,137
2006-10-31,1/N,0.026238501340847924,0.03194546713474139,7.986366783685348e-05,34,ewma,25,137
2006-10-31,GA-UQ,0.07759988813117732,0.47423193940359165,0.0011855798485089792,34,ewma,25,137
2006-11-30,1/N,0.00544350510196174,0.032986260072917266,8.246565018229317e-05,34,ewma,25,137
2006-11-30,GA-UQ,0.004773245814391123,0.016685807889181562,4.1714519722953903e-05,34,ewma,25,137
2006-12-31,1/N,0.04013527385348129,0.03716206343136362,9.290515857840905e-05,34,ewma,25,137
2006-12-31,GA-UQ,0.022595495599414348,0.41560206889617196,0.00103900517224043,34,ewma,25,137
2007-01-31,1/N,0.02785221454116895,0.03929339316259329,9.823348290648323e-05,34,ewma,25,137
2007-01-31,GA-UQ,0.09346987175525932,0.048647828081002265,0.00012161957020250567,34,ewma,25,137
2007-02-28,1/N,-0.0004862579179861369,0.03333555013180094,8.333887532950234e-05,34,ewma,25,137
2007-02-28,GA-UQ,0.01302984510685336,0.2786311896273859,0.0006965779740684649,34,ewma,25,137
2007-03-31,1/N,0.04522377897112326,0.04392801096210377,0.00010982002740525942,34,ewma,25,137
2007-03-31,GA-UQ,0.07962790359453097,0.19815921737624748,0.0004953980434406187,34,ewma,25,137
2007-04-30,1/N,0.040929815290823145,0.039313703737600895,9.828425934400224e-05,34,ewma,25,137
2007-04-30,GA-UQ,0.012360347364730594,0.08334995976514667,0.0002083748994128667,34,ewma,25,137
2007-05-31,1/N,0.02304357336149499,0.04573893249413805,0.00011434733123534514,34,ewma,25,137
2007-05-31,GA-UQ,0.0376444922640226,0.06790518568540445,0.00016976296421351112,34,ewma,25,137
2007-06-30,1/N,0.0002959473997462066,0.03906390624084333,9.765976560210832e-05,34,ewma,25,137
2007-06-30,GA-UQ,-0.006301158999812439,0.3028057978278374,0.0007570144945695935,34,ewma,25,137
