date,strategy,ret_net,turnover,cost,n_assets,cov_method,cost_bps,seed
2003-03-31,1/N,-0.07024699871208541,0.0,0.0,34,ewma,5,137
2003-03-31,GA-UQ,0.042170413993086894,0.0,0.0,34,ewma,5,137
2003-04-30,1/N,0.17501176955843853,0.06792824299288255,3.396412149644128e-05,34,ewma,5,137
2003-04-30,GA-UQ,0.039600876623669824,0.22700583554320036,0.00011350291777160018,34,ewma,5,137
2003-05-31,1/N,0.05353190287343253,0.08873135705686638,4.4365678528433194e-05,34,ewma,5,137
2003-05-31,GA-UQ,0.05186579619738741,0.21705825765354508,0.00010852912882677255,34,ewma,5,137
2003-06-30,1/N,0.03212558252740981,0.06769661655422204,3.3848308277111024e-05,34,ewma,5,137
2003-06-30,GA-UQ,-0.050434537070229206,0.16753881994672246,8.376940997336123e-05,34,ewma,5,137
2003-07-31,1/N,0.05298292866637371,0.08525571311648739,4.2627856558243696e-05,34,ewma,5,137
2003-07-31,GA-UQ,-0.009997339934139536,0.03849568246500723,1.9247841232503616e-05,34,ewma,5,137
2003-08-31,1/N,0.0391186781361559,0.056562389875960975,2.8281194937980487e-05,34,ewma,5,137
2003-08-31,GA-UQ,0.02125425984507333,0.32947633873951504,0.00016473816936975752,34,ewma,5,137
2003-09-30,1/N,-0.03567798515167903,0.05390435338488627,2.6952176692443136e-05,34,ewma,5,137
2003-09-30,GA-UQ,0.020891247719966245,0.28566177276243565,0.00014283088638121784,34,ewma,5,137
2003-10-31,1/N,0.0876985668278593,0.057321731400811364,2.8660865700405682e-05,34,ewma,5,137
2003-10-31,GA-UQ,0.02248939504391754,0.5618345915748737,0.00028091729578743686,34,ewma,5,137
2003-11-30,1/N,0.014169484344665254,0.06919936247436151,3.459968123718075e-05,34,ewma,5,137
2003-11-30,GA-UQ,0.052464943303579994,0.47677238715019477,0.00023838619357509738,34,ewma,5,137
2003-12-31,1/N,-0.0011564352923715598,0.048614103445944024,2.430705172297201e-05,34,ewma,5,137
2003-12-31,GA-UQ,-0.012859079819305258,0.13533794184545006,6.766897092272503e-05,34,ewma,5,137
2004-01-31,1/N,0.04800654823531113,0.04389192378110868,2.194596189055434e-05,34,ewma,5,137
2004-01-31,GA-UQ,0.0018881015969631513,0.5642719596239939,0.000282135979811997,34,ewma,5,137
2004-02-29,1/N,0.037679283672145736,0.05671334945058758,2.835667472529379e-05,34,ewma,5,137
2004-02-29,GA-UQ,0.0904738891568183,1.1270403819309065,0.0005635201909654533,34,ewma,5,137
2004-03-31,1/N,-0.020307780229662425,0.06676589858758236,3.3382949293791185e-05,34,ewma,5,137
2004-03-31,GA-UQ,0.09269792499311337,0.5012685265165825,0.00025063426325829126,34,ewma,5,137
2004-04-30,1/N,0.008498501503966176,0.04841538435509293,2.4207692177546468e-05,34,ewma,5,137
2004-04-30,GA-UQ,0.018387690690802178,0.20541298843518452,0.00010270649421759227,34,ewma,5,137
2004-05-31,1/N,-0.011421554390825994,0.04949718199300593,2.4748590996502964e-05,34,ewma,5,137
2004-05-31,GA-UQ,0.06768250583042887,0.25251928456100897,0.00012625964228050448,34,ewma,5,137
2004-06-30,1/N,0.03064992208720895,0.040543483716571724,2.027174185828586e-05,34,ewma,5,137
2004-06-30,GA-UQ,0.05078301508954457,0.28628092722293064,0.00014314046361146531,34,ewma,5,137
2004-07-31,1/N,-0.03753445356726557,0.043543048859607345,2.1771524429803673e-05,34,ewma,5,137
2004-07-31,GA-UQ,-0.0011253563969460506,0.25635713952557854,0.00012817856976278928,34,ewma,5,137
2004-08-31,1/N,-0.021450360299037803,0.0335720003829896,1.67860001914948e-05,34,ewma,5,137
2004-08-31,GA-UQ,0.075517814238482,0.4537052181305805,0.00022685260906529027,34,ewma,5,137
2004-09-30,1/N,-0.00037001761953294203,0.05653213242125431,2.8266066210627154e-05,34,ewma,5,137
2004-09-30,GA-UQ,0.04120655550448025,0.24315306784640756,0.00012157653392320378,34,ewma,5,137
2004-10-31,1/N,0.025219606258484354,0.04722034753127935,2.3610173765639677e-05,34,ewma,5,137
2004-10-31,GA-UQ,0.06545785639097984,0.30069736573577927,0.00015034868286788964,34,ewma,5,137
2004-11-30,1/N,0.03491045427235525,0.04070443627211974,2.0352218136059872e-05,34,ewma,5,137
2004-11-30,GA-UQ,0.07414237820737006,0.6557065458121726,0.0003278532729060863,34,ewma,5,137
2004-12-31,1/N,0.018652335904767222,0.04284357224463524,2.142178612231762e-05,34,ewma,5,137
2004-12-31,GA-UQ,-0.0677706284484251,0.22304677145156915,0.00011152338572578457,34,ewma,5,137
2005-01-31,1/N,0.024055030707372093,0.03830681359388601,1.9153406796943005e-05,34,ewma,5,137
2005-01-31,GA-UQ,0.002767387682783578,0.07462356746558799,3.731178373279399e-05,34,ewma,5,137
2005-02-28,1/N,0.03799177345702073,0.042643157470357004,2.1321578735178502e-05,34,ewma,5,137
2005-02-28,GA-UQ,0.06568210033193725,0.5353730236594304,0.0002676865118297152,34,ewma,5,137
2005-03-31,1/N,-0.014309263237717557,0.04993126963490874,2.496563481745437e-05,34,ewma,5,137
2005-03-31,GA-UQ,-0.11744355485989204,0.2284644242716464,0.0001142322121358232,34,ewma,5,137
2005-04-30,1/N,-0.05918816669121445,0.049091254184006075,2.454562709200304e-05,34,ewma,5,137
2005-04-30,GA-UQ,-0.17894967364050798,0.354173939781,0.0001770869698905,34,ewma,5,137
2005-05-31,1/N,0.05923199239601731,0.040503280674783634,2.0251640337391817e-05,34,ewma,5,137
2005-05-31,GA-UQ,0.06215589617149329,0.6175016565384475,0.0003087508282692237,34,ewma,5,137
2005-06-30,1/N,0.03827448055666081,0.04488339020816326,2.2441695104081632e-05,34,ewma,5,137
2005-06-30,GA-UQ,0.06580413646032449,1.0484151336956127,0.0005242075668478064,34,ewma,5,137
2005-07-31,1/N,0.0514113404189297,0.028074061745664555,1.4037030872832278e-05,34,ewma,5,137
2005-07-31,GA-UQ,0.05920890626033176,0.18074148605216764,9.037074302608382e-05,34,ewma,5,137
2005-08-31,1/N,-0.012107514157130584,0.03433638097910576,1.7168190489552882e-05,34,ewma,5,137
2005-08-31,GA-UQ,0.002958772651913963,0.30286298590206556,0.0001514314929510328,34,ewma,5,137
2005-09-30,1/N,0.05149070828539665,0.04002221383961395,2.0011106919806974e-05,34,ewma,5,137
2005-09-30,GA-UQ,0.013563460617540553,0.3315168989931614,0.0001657584494965807,34,ewma,5,137
2005-10-31,1/N,-0.03842013517913392,0.0359745005543432,1.7987250277171603e-05,34,ewma,5,137
2005-10-31,GA-UQ,-0.09928936447130751,0.04994194951766769,2.4970974758833847e-05,34,ewma,5,137
2005-11-30,1/N,0.03443471526790145,0.039852827071629904,1.992641353581495e-05,34,ewma,5,137
2005-11-30,GA-UQ,0.04834650158776184,0.450308089540076,0.000225154044770038,34,ewma,5,137
2005-12-31,1/N,0.021759882880587004,0.03924949866206455,1.9624749331032276e-05,34,ewma,5,137
2005-12-31,GA-UQ,0.021123876541241777,0.5874860581428563,0.00029374302907142816,34,ewma,5,137
2006-01-31,1/N,0.04986880571900029,0.04258452437100112,2.129226218550056e-05,34,ewma,5,137
2006-01-31,GA-UQ,0.15337796503684478,0.5301565380520189,0.00026507826902600945,34,ewma,5,137
2006-02-28,1/N,0.015316498645376524,0.028036228136513908,1.4018114068256955e-05,34,ewma,5,137
2006-02-28,GA-UQ,-0.010234416092635949,0.44157474375969574,0.00022078737187984786,34,ewma,5,137
2006-03-31,1/N,0.03459714272933943,0.04788073210731128,2.394036605365564e-05,34,ewma,5,137
2006-03-31,GA-UQ,0.06872735927775138,0.5089429165693005,0.00025447145828465023,34,ewma,5,137
2006-04-30,1/N,-0.00044613439483346616,0.04183020496397766,2.091510248198883e-05,34,ewma,5,137
2006-04-30,GA-UQ,-0.03733576035407728,0.02181233955458157,1.0906169777290786e-05,34,ewma,5,137
2006-05-31,1/N,-0.06357201547846478,0.03773246825539111,1.8866234127695555e-05,34,ewma,5,137
2006-05-31,GA-UQ,-0.09522956311565531,0.12362263843236099,6.181131921618049e-05,34,ewma,5,137
2006-06-30,1/N,-0.00249033225435547,0.03886893278079881,1.9434466390399405e-05,34,ewma,5,137
2006-06-30,GA-UQ,0.029447221847274323,0.47404573420242846,0.00023702286710121424,34,ewma,5,137
2006-07-31,1/N,-0.015505435685956753,0.03313987908493561,1.6569939542467806e-05,34,ewma,5,137
2006-07-31,GA-UQ,0.02528165122847349,0.44179400396419294,0.00022089700198209646,34,ewma,5,137
2006-08-31,1/N,0.054488296183477426,0.038839666177064414,1.9419833088532206e-05,34,ewma,5,137
2006-08-31,GA-UQ,0.02603860398246738,0.2671508007026969,0.00013357540035134846,34,ewma,5,137
2006-09-30,1/N,0.01546287976673018,0.057490380988281374,2.8745190494140688e-05,34,ewma,5,137
2006-09-30,GA-UQ,0.040606967698561196,0.6372761466479915,0.00031863807332399574,34,ewma,5,137
2006-10-31,1/N,0.02630239227511741,0.03194546713474139,1.5972733567370695e-05,34,ewma,5,137
2006-10-31,GA-UQ,0.0785483520099845,0.47423193940359165,0.00023711596970179584,34,ewma,5,137
2006-11-30,1/N,0.005509477622107574,0.032986260072917266,1.6493130036458634e-05,34,ewma,5,137
2006-11-30,GA-UQ,0.004806617430169486,0.016685807889181562,8.342903944590781e-06,34,ewma,5,137
2006-12-31,1/N,0.04020959798034402,0.03716206343136362,1.8581031715681812e-05,34,ewma,5,137
2006-12-31,GA-UQ,0.02342669973720669,0.41560206889617196,0.00020780103444808598,34,ewma,5,137
2007-01-31,1/N,0.027930801327494134,0.03929339316259329,1.9646696581296643e-05,34,ewma,5,137
2007-01-31,GA-UQ,0.09356716741142132,0.048647828081002265,2.4323914040501132e-05,34,ewma,5,137
2007-02-28,1/N,-0.00041958681772253503,0.03333555013180094,1.666777506590047e-05,34,ewma,5,137
2007-02-28,GA-UQ,0.013587107486108132,0.2786311896273859,0.00013931559481369297,34,ewma,5,137
2007-03-31,1/N,0.04531163499304747,0.04392801096210377,2.1964005481051883e-05,34,ewma,5,137
2007-03-31,GA-UQ,0.08002422202928346,0.19815921737624748,9.907960868812374e-05,34,ewma,5,137
2007-04-30,1/N,0.04100844269829835,0.039313703737600895,1.9656851868800448e-05,34,ewma,5,137
2007-04-30,GA-UQ,0.012527047284260887,0.08334995976514667,4.167497988257334e-05,34,ewma,5,137
2007-05-31,1/N,0.023135051226483266,0.04573893249413805,2.2869466247069027e-05,34,ewma,5,137
2007-05-31,GA-UQ,0.037780302635393406,0.06790518568540445,3.3952592842702226e-05,34,ewma,5,137
2007-06-30,1/N,0.00037407521222789327,0.03906390624084333,1.9531953120421665e-05,34,ewma,5,137
2007-06-30,GA-UQ,-0.005695547404156764,0.3028057978278374,0.0001514028989139187,34,ewma,5,137
2007-07-31,1/N,-0.0425101159330815,0.039225612215776556,1.961280610788828e-05,34,ewma,5,137
2007-07-31,GA-UQ,0.003635820746385877,0.34701374901474874,0.00017350687450737437,34,ewma,5,137
2007-08-31,1/N,-0.015271243089034749,0.03716924820202608,1.858462410101304e-05,34,ewma,5,137
2007-08-31,GA-UQ,0.008767601162874958,0.30591127507479793,0.00015295563753739896,34,ewma,5,137
2007-09-30,1/N,0.0025485180337861857,0.03733544481341605,1.8667722406708027e-05,34,ewma,5,137
2007-09-30,GA-UQ,0.08905691539491342,0.4653363256884989,0.00023266816284424945,34,ewma,5,137
2007-10-31,1/N,0.02552598423071166,0.030063350863336703,1.5031675431668351e-05,34,ewma,5,137
2007-10-31,GA-UQ,0.1214377034273034,0.22853847585937906,0.00011426923792968953,34,ewma,5,137
2007-11-30,1/N,-0.06794313247658788,0.04612294414049171,2.3061472070245855e-05,34,ewma,5,137
2007-11-30,GA-UQ,-0.06336871394783188,0.09151970391211732,4.575985195605866e-05,34,ewma,5,137
2007-12-31,1/N,-0.022249755787452672,0.03878536745070024,1.939268372535012e-05,34,ewma,5,137
2007-12-31,GA-UQ,-0.03252709032853267,0.04376862249075551,2.1884311245377757e-05,34,ewma,5,137
2008-01-31,1/N,-0.12539928878991105,0.05820580748207088,2.910290374103544e-05,34,ewma,5,137
2008-01-31,GA-UQ,-0.09270723584883817,0.29842661459694864,0.00014921330729847433,34,ewma,5,137
2008-02-29,1/N,-1.9282692067833362e-05,0.04767973794627639,2.3839868973138197e-05,34,ewma,5,137
2008-02-29,GA-UQ,0.056499573135019764,0.2904825140235901,0.00014524125701179504,34,ewma,5,137
