Period,Strategy,Ann.Return,Ann.Vol,Sharpe
Other,1/N,0.47268567486626534,0.2334566484346394,2.024725695480044
Other,GA-UQ,0.19902577494984564,0.1268573134124355,1.5688947652767777
P1 (2004–2009),1/N,0.03822171540665398,0.1998952394914842,0.19120873265359717
P1 (2004–2009),GA-UQ,0.048214862766684075,0.2553602716374521,0.18881113517586304
P2 (2010–2015),1/N,0.09178525045625507,0.1722541411273935,0.5328478598861301
P2 (2010–2015),GA-UQ,0.14704241540783114,0.1393834412401744,1.0549489530428469
P3 (2016–2020),1/N,0.058307959144388466,0.18755011583040498,0.3108926853295805
P3 (2016–2020),GA-UQ,0.01572776540867693,0.2064294835836353,0.07618953036960341
P4 (2021–2024),1/N,-0.016944796285429775,0.16493894424315533,-0.10273375013513798
P4 (2021–2024),GA-UQ,0.05874590039961558,0.18809092831403318,0.3123271330849859
